2019-11-06 10:33:53.702	{5077; 140.5496}
2019-11-06 10:33:53.702	{5077; 141.2758}
2019-11-06 10:33:53.827	{5112; 141.2758}
2019-11-06 10:33:53.827	{5112; 141.9783}
2019-11-06 10:33:53.952	{5143; 141.9783}
2019-11-06 10:33:53.952	{5143; 142.6727}
2019-11-06 10:33:54.014	{5171; 142.6727}
2019-11-06 10:33:54.014	{5171; 143.4381}
2019-11-06 10:33:54.139	{5196; 143.4381}
2019-11-06 10:33:54.139	{5196; 144.3654}
2019-11-06 10:33:54.202	{5218; 144.3654}
2019-11-06 10:33:54.202	{5218; 145.3922}
2019-11-06 10:33:54.327	{5238; 145.3922}
2019-11-06 10:33:54.327	{5238; 146.6652}
2019-11-06 10:33:54.452	{5257; 146.6652}
2019-11-06 10:33:54.452	{5257; 147.9633}
2019-11-06 10:33:54.514	{5274; 147.9633}
2019-11-06 10:33:54.514	{5274; 149.3999}
2019-11-06 10:33:54.639	{5291; 149.3999}
2019-11-06 10:33:54.639	{5291; 150.8495}
2019-11-06 10:33:54.702	{5306; 150.8495}
2019-11-06 10:33:54.702	{5306; 152.2352}
2019-11-06 10:33:54.827	{5320; 152.2352}
2019-11-06 10:33:54.827	{5320; 153.5436}
2019-11-06 10:33:54.952	{5332; 153.5436}
2019-11-06 10:33:54.952	{5332; 154.7151}
2019-11-06 10:33:55.014	{5332; 155.72}
2019-11-06 10:33:55.139	{5352; 155.72}
2019-11-06 10:33:55.139	{5352; 156.5448}
2019-11-06 10:33:55.202	{5352; 157.2747}
2019-11-06 10:33:55.327	{5372; 157.2747}
2019-11-06 10:33:55.327	{5372; 157.9401}
2019-11-06 10:33:55.452	{5403; 157.9401}
2019-11-06 10:33:55.452	{5403; 158.5723}
2019-11-06 10:33:55.515	{5403; 159.2459}
2019-11-06 10:33:55.640	{5422; 159.2459}
2019-11-06 10:33:55.640	{5422; 159.9902}
2019-11-06 10:33:55.702	{5442; 159.9902}
2019-11-06 10:33:55.702	{5442; 160.7713}
2019-11-06 10:33:55.827	{5461; 160.7713}
2019-11-06 10:33:55.827	{5461; 161.5692}
